,Name,Style,ABV,IBU,Rating,Description
37,Artillera Flamenka,Blonde Ale,6.5,,,"Flamenka
Envejecida en madera de roble francés. Con manzanilla, jengibre, cilantro ypiel de naranja amarga. Muy aromática, con un amplio abanico de sabores frutales y especiados que se potencian y complementan con los aportados por la madera de roble francés 
 "
38,Soma Double Mosaic Latte,Imperial IPA,8.0,,4.31,"Double Mosaic Latte with Gelato Terpenes
Lactosa, Mosaic, Mosaic Cryo, Terpenos de Gelato"
39,Espiga / La Calavera Eclectic Roots,IPA Otros,7.0,40.0,,"Eclectic Roots
Fruity Sour NEIPA
De la unió de dues grans cerveseres, neix aquesta cervesa fusió de la nostra experiència en Espiga amb estils on el llúpol és el protagonista, i la Calavera Brewing Coop. amb una àmplia trajectòria en elaboracions d’un caràcter més àcid.
Una Fruity G ..."
40,Península Recharge,American IPA,6.0,50.0,,"Recharge
IPA
Recharge es una IPA moderna, de 6%, con lúpulos Magnum, Centennial y Ekuanot, perfecta para ese rato que desconectamos haciendo lo que más nos gusta, nuestros hobbies, sean cuales sean.
 "
41,Península Reconnect,Stout,6.0,30.0,,"Reconnect
Stout
Reconnect es una Stout, de 6%, sedosa, de cuerpo medio, con notas a café y chocolate negro, para hacerte sentir como en casa y compartirla con la gente que más importa.
 "
42,Península / La Pirata Heavyweight,Imperial IPA,8.0,45.0,,"Heavyweight
Double IPA
Heavyweight es una Double IPA, de 8%, con lúpulos Columbus, Mosaic y Simcoe, en colaboración con La Pirata Brewing. Afrutada, herbal y con notas resinosas."
43,Garage Beer Co / Península Flip Flip Follow,New England IPA,5.5,,3.87,"Flip Flip Follow
A soft and juicy IPA containing a healthy dose of Spelt and a touch of lactose, in collaboration with Cervecera Península"
44,Península / Soma Ambigram,New England IPA,6.0,50.0,4.0,"Ambigram
DDH IPA
Ambigram es una DDH IPA, de 6%, con lúpulos Citra, Mosaic y El Dorado, en colaboración con Soma Beer. Cítrica, maltosa pero bien balanceada con la gran cantidad de lúpulo. "
45,Península Peachment,Fruit Lambic,5.0,6.0,,"Peachment
Kettle Sour Peach & Lactose
Peachment es una Kettle Sour con Melocotón y Lactosa, de 5%, con 15 gr. de melocotón por litro de cerveza. Ácida y sedosa en boca."
46,La Birrita Blondie,Blonde Ale,4.0,,3.1,"La Birrita Blondie Beer
Cerveza rubia, de tipo Pilsen Ale, de alta fermentación, ligera y refrescante, color rubio pajizo y con aroma y sabor ligeramente afrutado y cítrico.
Aspecto: Color pajizo claro, lugeramente turbia debido a la alta fermentación, con una espuma blanc cremosa de media d ..."
47,Mad Brewing Babelin,Hefeweizen,5.0,,3.61,"Babelin
Hefeweizen"
48,Mad Brewing Mad Lager,Lager,5.0,,,"Mad Lager
Lager"
49,Mad Brewing Jim West,American IPA,8.0,,3.59,"Jim West
West Coast IPA"
50,Sargs / Virtus American Stout,American Stout,9.0,30.0,,"American Stout
Elaborada en colaboración con Cervezas Virtus de Burgos. Con cacao y piel de naranja."
51,Yakka Tropical IPA,American IPA,0.0,,,"Tropical IPA
Simcoe y Ekuanot
Tropical IPA con mucho Simcoe y mucho Ekuanot, además de mango y fruta de la pasión."
52,Yakka Hazy IPA,New England IPA,5.6,,3.95,"Hazy IPA
Hazy IPA hiperlupulada, afrutada, floral... bestialmente aromática y muy poco amarga... A pintas sabe mejor.
Cuéntame el cuento de los barquitos de tus abuelos la birra que viaja con viento bueno. Dame las IPAS llenas de flores y un tercio a pelo, con lúpulo antiguo y también con n ..."
53,Pyrene Wild Goddess Imperial Neipa Nitro,Imperial IPA,8.5,10.0,,"Wild Goddess Imperial Neipa Nitro
Imprerial Neipa Nitro. Color paja pálido, de aspecto fino, lechoso y brillante. Espuma muy cremosa y de burbuja fina gracias a carbanatación con nitrógeno. Alto aroma a lúpulo, notas herbáceas y cítricas en boca. Algo ácida y seca, nada amarga y poco dulce."
54,Pyrene Fada Witbier,Witbier,4.7,19.0,,"Fada Witbier
Witbier de trigo con jengibre y lemon grass. Color oro bastante traslucida y clara. Muy buena retención de espuma y muy carbónica. Leves aromas a lúpulos donde predomina el fresco olor a jengibre. Muy fresca en boca y algo cítrica característica del lemon grass. Nada amarga, m ..."
55,Gross Nor IPA,American IPA,5.8,,,Nor IPA
56,Cierzo These Hops Are Made For Punching,American IPA,7.1,90.0,3.69,"These Hops Are Made For Punching
Estos lúpulos están hechos para golpear tus sentidos y eso es justo lo que harán. Deja que esta aromática IPA te pasa por encima, dejando tras de si un rastro amargo, cítrico y floral, dominado por un potente dry hopping de Cascade."
57,Cierzo Saurus,Stout,8.0,45.0,3.84,"Saurus
Imperial Stout con galletas
Hace millones de años los dinosaurios dominaban La Tierra, hasta que un meteorito los convirtió en nutritivas y deliciosas galletas. Solo una poderosa, oscura y torrefacta Imperial Stout podría ser capaz de devolverlos a la vida para disfrutar de su dulce sabor."
58,Cierzo Infrenable,Imperial IPA,8.4,50.0,4.02,"Infrenable
Doble IPA
No hay quien pare frene a esta Doble IPA con DDH de Citra, Mosaic, Ekuanot, Azacca y Cryo Amarillo. Una cerveza de color dorado opaco, muy aromática, sedosa en boca y con un agradable amargor, elaborada en colaboración con Basqueland Brewing."
59,Cierzo Tarántula,Black IPA,6.4,85.0,3.75,"Tarántula
Black IPA
Si nos dejamos llevar por el olfato, el aroma herbáceo del lúpulo Chinook predecirá correctamente una IPA de trago amargo y final seco, que en boca se mezcla con ligeras notas torrefactas, anticipadas por la apariencia oscura de esta cerveza."
60,Cierzo La Federal,Porter,5.5,30.0,3.93,"La Federal
Chili Porter
Déjate sorprender por los contrastes de esta cerveza oscura, torrefacta, dulce y con un final picante, gracias al uso de tres variedades de chiles: Pasilla, Ancho y Árbol. Colaboración con la coctelería zaragozana, de corazón mexicano, El Federal."
61,No Nation Farm Attack!,New England IPA,5.5,,3.71,"Farm Attack!
DDH Hazy IPA
Exp-Beer-001
Farm Attack! Exp-Beer-001 es la primera cerveza de una línea de cervezas experimentales.
DDH Hazy IPA de 5,50% bien aderezada de verdor lupulero. Biofrutas muy bebible de Moisaic y Citra.
Turbia, divertida, fresca, sabrosa y con mucha, mucha personalidad."
62,No Nation TTT,American IPA,6.5,75.0,3.52,"TTT
West Coast IPA
Derma Series
TTT Derma Series, es una cerveza de estilo West Coast con dos cepas de levadura, que han trabajado en paralelo. Una combinación perfecta de lúpulos.
*Grabado en tu piel. Hasta el final. Lo que viviste, es lo que eres. Lo que serás, solo lo sabes tú""."
63,No Nation Sticky Storm,New England IPA,5.5,35.0,3.7,"Sticky Storm
Segunda creación para seguir dando guerra. En este caso una cerveza con lúpulos Columbus, Centennial y Amarillo. Cerveza conceptuada de un modo algo diferente a la anterior, huyendo de perfiles tropicales, para apegarnos más a perfiles resinosos y cítricos. ¡Amamos lo que hace ..."
64,A Cova Céltica Fartura,American Pale Ale,5.5,,,"Fartura
GZ Pale Ale
American Pale Ale con lúpulos del valle de Órbigo, en León, y lúpulos americanos.
Color dorado, con una graduación de 5,5 y un toque amargo y seco con toques de melocotón."
65,Soma Double Citra Meets Simcoe,Imperial IPA,8.0,,4.33,Double Citra Meets Simcoe
66,Espiga True Army,Imperial IPA,8.0,75.0,,"True Army
New England DIPA
Una New England Double IPA carregada de llúpol. De color daurat pàl·lid, amb certa terbolesa i escuma blanca. En aroma i sabor destaquen els afruitats i herbals gràcies al doble dry hopping d’Amarillo i Citra que aporten notes a llima, mango i maracujà. En boca ..."
67,Península Unplug,IPA Otros,6.0,46.0,,"Unplug
Red Rye IPA
Unplug es una IPA roja con centeno, de 6%, con lúpulos Columbus, Simcoe y Cascade, perfecta para desconectar y disfrutar de lo que tienes alrededor mientras la tomas: como si activaras el modo avión de tu teléfono móvil."
68,Reptilian / Brew Division Gosezilla,Fruit Lambic,7.0,8.0,,"Gosezilla
Kettle Soured Gose with black salt from Himalaia, strawberry and basil in collaboration with Brew Division.
----------------
Kettle Soured Gose con sal negra de Himalaia, fresa y albahaca en colaboración con Brew Division."
69,Sesma Goxua,Imperial Stout,12.5,,4.14,"Goxua
Dessert Imperial Sweet Stout
Ingredientes: malta de cebada, malta de avena, copos de avena, copos de trigo, malta de trigo, azúcar moreno, bizcochos, lactosa, vainilla, canela, caramelo."
70,1270 Doppelbock,Doppelbock,7.0,21.0,,"Doppelbock
Tostada
Nuestra cerveza tostada. Rica en cuerpo y maltosa, con aroma a roble ahumado y toques de frutos secos.La cerveza ideal para esas tardes de otoño e invierno, un placer para los sentidos."
71,Zmajska Pivovara / Montseny Bounty Stout,Stout,6.0,40.0,3.86,"Bounty Stout
Pastry Stout
Bounty Stout ima nemalih 6,0% abv, ugodnih 40 IBU-a, a dominantne arome kokosa, kakaa, tamne čokolade i tamne karamele svrstavaju ga u Pastry Stout tip piva. Slojevit, bogat i pomalo dekadentan pivski stil zbog dodatka slastičarskih sastojaka. Idealan za jesenje dane!"
72,Montseny Hazy IPA,New England IPA,6.0,,,"Hazy IPA
La tercera edició limitada amb dissenys de @ivanbravo_"
73,Tyris Pastry Stout,Sweet Stout,5.4,,3.57,"Pastry Stout
Con frutos rojos. "
74,Tyris UFO DDH,American IPA,5.0,23.0,3.74,"UFO DDH
DDH IPA con 24 gramos de lúpulo por litro.
Cerveza del 10ª Aniversario de Tyris macrocolaboración con todas las cerveceras asistentes al UFO Fest celebrado en Valencia el 7 de septiembre del 2019.
Micros: Fyne Ales, Cervecera Península, Uiltje Brewing Company, Brasserie Popihn, Ce ..."
75,Naparbier / LIC Beer Angry Monkey,New England IPA,8.0,,,"Angry Monkey
DIPA
La segunda colaboración del aniversario. Te gustan las hazy’s New Yorkinas? hecho con mucho amor con nuestros grandes amigos @licbeerproject..ANGRY MONKEY: Hazy DIPA (8%) Mosaic, Simcoe.
------------------
Our second anniversary colab. Like your hazy’s New York style? Mad ..."
76,Barna Brew Ovella Negra,Black IPA,6.8,45.0,,"Ovella Negra
Black IPA"
77,Tibidabo Brewing Coal & Maple,Sweet Stout,6.3,,3.79,"Coal & Maple
Maple Stout. Con jarabe de arce."
78,Tibidabo Brewing Small Batch 2 Double Hazy IPA,Imperial IPA,8.0,22.0,3.6,"Small Batch 2
Double Hazy IPA
Nuestra segunda cerveza del proyecto SMALL BATCH – una Double IPA con adición de avena y DDH con los lúpulos Idaho7 y Amarillo.⁠⁠"
79,La Sagra Madrí IPA,India Pale Ale,7.0,70.0,3.24,"Madrí IPA
Cerveza elaborada con amor y chulería. India Pale Ale con notas afrutadas en contraste con sus 70 IBUs de amargor. Muy equilibrada entre cuerpo afrutado, notas amargas y aroma cítrico. Potente, pero de trafo largo y refrescante."
80,La Sagra Invierno Miel y Anís,Christmas-Winter Specialty Spiced Beer,6.5,14.0,3.29,"Invierno Miel y Anís
Cerveza tostada de color rojizo con sabor caramelizado y meloso, aroma dulzón y anisado debido a la incorporación de miel y anís en grano en su elaboración."
81,Yria Bohemia Lager Lengua de Signos,Bohemian Pilsener,5.0,,,"Bohemia Lager Lengua de Signos
Desde Yria siempre quisimos hacer esto, una cerveza inclusiva, para dar visibilidad al colectivo de personas con discapacidad y a la gente que trabaja para ellas. Estupendamente diseñada por Don Signo (muy agradecidos) . Con Otra mirada es una asociación de Vald ..."
82,Yria Asura Deconstructed,Otros Estilos,27.0,,4.59,"Asura: Deconstructed
Malt Liquor
Yria Asura Deconstructed Malt Liquor es la elaboración de un licor homenaje a nuestro éxito de ventas ,Yria Asura. Lleva moonshine, infusión de café, vainilla, azúcar muscovado y sirope de arce."
83,Yria / Sackman Crema De Cerveza,Specialty Beer,17.0,,,"Crema De Cerveza
Exquisita crema de cerveza elaborada con base láctea natural, lúpulos seleccionados y las mejores cervezas YRIA elegidas expresamente para la elaboración de este producto."
84,La Quince / Brewski Magic Potion,American IPA,8.2,,,"Magic Potion
West Coast IIPA
Collab with our friends from @brewski.se West Coast IIPA 8,2% abv. with Simcoe, Cascade and Mosaic hops"
85,La Calavera Godless,Sour Ale,6.4,,,"Godless
Sour Ale Aged In Red Wine Barrles
Sour envellida en bótes de vi negre durant 14 mesos. Amb un caràcter marcadament àcid, i amb notes de fusta i tocs de vi.
 "
86,La Calavera Blindspot,Sour Ale,6.4,,,"Blindspot
Wild Ale Aged In Red Wine Barrles"
87,Sister Craft Beer,Scottish and Iris Ale,6.4,,,"Sister Craft Beer
Scotch Ale
Se trata de una Scottish Ale con un carácter claramente maltoso, resultado de la combinación de varias maltas que ofrecen aromas a tofe, galleta y un final sutil de caramelo. El lúpulo ingles le da unas notas suaves a terrosos y a cítricos que equilibran la malt ..."
88,Sel Mi Pueblo,Fruit Beer,5.0,,,"Sel Mi Pueblo
Honey Blonde Ale
Homenaje a la tradición de los pueblos y sus gentes. Combina las mejores materias primas 100% naturales: maltas de trigo y cebada, copos de avena, lúpulo americano y miel de ""Miel y Aromas del Pirineo"" premiada como la mejor miel de Aragón. Estos ingredientes d ..."
89,Lo Marraco de Lleida - Lo Dragoi IPA,American IPA,6.2,,,"Lo Marraco de Lleida - Lo Dragoi IPA
IPA
Toda la fuerza de un dragón mitológico reflejada en una cerveza. Para conseguirlo se han mezclado 5 tipos de maltas inglesas con 4 tipos de lúpulos americanos.
Debido a esta variedad de sabores, logramos obtener una cerveza con cuerpo, muy sabrosa y a ..."
90,Exclusivas Cerveceras Ilergeta,Specialty Beer,5.0,,,"Ilergeta
Honey Blonde Ale
En honor a Indíbil y Mandonio, dos caudillos ilergetes que defendieron al pueblo de los ataques de los romanos y cartagineses. Se define como una cerveza ligera y muy refrescante debido a la acidez que le aporta la malta de trigo y las notas cítricas del lúpulo util ..."
91,Basqueland / Sand City Little Wing,American IPA,6.5,25.0,4.04,"Little Wing
India Pale Ale
Fly on, my sweet angel
Little Wing is our collab with our NY friends of @sandcitybrewery An IPA dry-hopped with Mosaic, Chinook and Simcoe Cryo.
Forever we’ll be by your side."
92,Basqueland Lost In the Bosque,Fruit Lambic,6.3,5.0,3.86,"Lost In the Bosque
Red Fruited Sour
Cherries, strawberries, raspberries will make you get lost in this psychedelic spiral of tartness
Lost In the Bosque is a Red Fruited Sour which balances the juicy sourness of the berries with a bit of lactose to give it a smoothie-like body. Go deep, get lost."
93,Basqueland Oloroso Beltza,Imperial Stout,12.1,50.0,3.88,"Oloroso Beltza
Imperial Stout aged in Oloroso barrels"
94,Antiga Brut IPA,Brut IPA,7.5,35.0,,"Brut IPA
Se caracteriza por su sequedad, carbonización y una buena carga de lúpulo aromático."
95,Espina De Ferro Abad,Belgian Tripel,,,,"Abad
Belgian Tripel"
96,Malandar ADN Tropical,Sour Ale,7.0,,3.97,"ADN Tropical
Mango, Maracuyá Smoothie Sour
Con puré natural de mango, maracujà y Lactosa."
97,Naparbier / Põhjala Horse Rider,Baltic Porter,10.1,,,"Horse Rider
Baltic Porter
En colaboración con nuestros amigos y estrellas del estillo @pohjalabeer.
-------------
Baltic porter made in collaboration with our good friends & stars of the style @pohjalabeer"
98,Zeta / Mister B Hop Corn,Cream Ale,5.0,30.0,3.34,"Hop Corn
Una Cream Ale, de las de beber a morro. Un clásico americano que con la magia de Mister B Brewery hemos reformado para entrar a vivir: dry-hoppings de Cascade y Simcoe, maduración en lagering tanks, mash escalonado y, ojo: ¡un volquete de palomitas de maíz!"
99,Zeta Lluvia Dorada,American IPA,5.5,30.0,3.59,"Lluvia Dorada
Con lúpulos Citra y Simcoe y 40 kilates de Yuzu de la terra. Ha quedado una IPA finísima, de las de trago más largo que el Amazonas y puñetazo cítrico de caerse sobre la alfombra. Hagan una cosa: ¡Lluvia Dorada en la copa!"
100,Zeta / Espiga Alita De Mosca,New England IPA,6.0,30.0,3.71,"Alita De Mosca
Una colaboración con Cervesa Espiga, los magos del lúpulo de Sant Llorenç d’Hortons. Nos ha quedado una NEIPA calidad suprema: turbia, sedosa y frutal. Con su levadura Vermont, copos de todos los cereales conocidos y dry-hoppings de dos lúpulos que amamos ambos: Mosaic y Simcoe"
101,CCVK / Balinadera Bailando con Lobos,IPA Otros,6.0,,3.66,"Bailando con Lobos
Rye IPA
Colaboración entre CCVK y Cervezas Bailandera. India Pale Ale de centeno aromatizada con jalapeño. Se presenta de un color ambarino oscuro con una espuma blanca cremosa. El centeno aporta textura, sequedad y un punto especiado. Esto combina perfectamente con el jala ..."
102,Bailandera / CCVK Bailando con Lobas,Berliner Weisse,3.9,,3.16,"Bailando con Lobas
Berliner Weisse
Colaboración entre Cervezas Bailandera y CCVK. Berliner weisse con cerezas elaborada en las instalaciones de Bailandera en Bustarviejo. La cerveza se presenta de un color pajizo turbio con algún reflejo rojizo y espuma blanca. La cereza surge sutilmente en n ..."
103,Click&Brew Iler,American Pale Ale,0.0,,,
104,Reptilian Apokalypse Bourbon Barrel Aged,Imperial Stout,11.5,,3.97,"Apokalypse Bourbon Barrel Aged
Russian Imperial Stout envejecida durante 6 meses en barricas de Bourbon."
105,Albert The Great Batch #1,Stout,12.0,40.0,3.99,
106,Espiga / Laugar Aged Cocoa Psycho Into the Dark,Imperial Stout,10.5,,4.23,"Aged Cocoa Psycho Into the Dark
Imperial Stout en col·laboració amb Laugar envellida durant 6 mesos en barrica de Bourbon. De color negre intens i amb una escuma cremosa i persistent. En aroma i sabor hi destaquen les notes de cacau que s’utilitza per l’elaboració de les Catànies, els b ..."
107,Río Azul Parallel,Imperial IPA,8.0,58.0,3.85,"Parallel
Double Dry Hopping IPA
DIPA con un doble Dry Hopping de Vic Secret y CRYO Amarillo. La particularidad es que lleva un toque de malta ahumada, cuyos fenoles potencian y dan continuidad y profundidad al DH, dando paso a una cerveza con cuerpo, sedosa (lactosa) y con un amargor bien integ ..."
108,Espiga / Laugar Cocoa Psycho Into the Dark,Imperial Stout,10.5,50.0,4.22,"Cocoa Psycho Into the Dark - Cocoa Psycho feat Laugar
Imperial Stout en col·laboració amb Laugar de color negre intens i amb una escuma cremosa i persistent. En aroma i sabor hi destaquen les notes de cacau que s’utilitza per l’elaboració de les Catànies, els bombons més famosos del P ..."
109,Laugar Bihotz Bihotzez,Imperial Stout,11.5,,4.09,"Bihotz Bihotzez
Imperial Pastry Stout
Bihotz Bihotzez, una colaboración a tres bandas para Bihotz Café con Right Side Coffee , Abasotas y Kaitxo en la que utilizamos sus respectivos ingredientes para conseguir una fina y equilibrada imperial pastry stout.
Imperial pastry stout con café de Bo ..."
110,Augas Santas / A Cova da Serpe Nuclear Juice,New England IPA,7.8,32.0,4.08,"Nuclear Juice
DDH Ultra Hopped, 30 grs de lúpulo por litro.
New England IPA, este estilo proviene de la costa este de EEUU, de graduación media, turbia y con insultantes cantidades de lúpulo que le dan un sabor y aspecto a zumo de fruta tropical."
111,Bailandera Sin Alcohol,Sin Alcohol,0.9,,,"Sin Alcohol
English Brown Ale con solo 0,9% de alcohol. "
112,Edge Brewing / Finback Anticipation,Imperial IPA,7.0,52.0,3.78,"Anticipation
Double IPA "
113,Espina de Ferro / Zulogaarden Neiparrectal,New England IPA,6.3,35.0,3.94,"Neiparrectal
Ipa New England
La Neiparrectal es una NEIPA grindcore con DDH, mango, «folre i manilles»"
114,Espina de Ferro Limbo 11,Belgian Dark Strong Ale,8.0,35.0,3.7,"Limbo 11
Belgian Dark Strong Ale
Cervesa vermellosa fosca amb sabor maltós i cos mig, cert aroma dolç amb presència de malta i èsters.
-----------
Cerveza rojiza con sabor maltoso y cuerpo medio, cierto aroma dulce con presencia de maltas y esteres."
115,Mala Gissona / Espina de Ferro Mala Espina,Belgian Dark Strong Ale,9.5,23.0,,"Mala Espina
Rye Quadruple fruto la primera colaboración entre @malagissona y @espinadeferro Con 9,5% ABV, color cobrizo oscuro, aromas maltosos complejos, pasas, higos, dátiles...
En boca es intensa con un balance maltoso y notas especiadas."
116,Basqueland / Finback Mucho Caliente,Imperial IPA,8.0,,,"Mucho Caliente
DIPA
Our collab with @finbackbrewery it’s exactly eso, una bomb de lúpulo at 8%. Dry-hopped with Citra, Azacca & Vic Secret. Quema!"
